# Rime user dictionary
#@/db_name	jyutping.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	1656
#@/user_id	yongli-macbookpro
aa 	呀	c=6 d=0.724768 t=1656
aa 	啊	c=2 d=0.0185691 t=1656
aa maa 	那麼	c=0 d=0.000990218 t=1656
aa maa tong je 	那麼倘若	c=1 d=0.00995182 t=1656
aa se 	那些	c=0 d=0.099005 t=1656
aa se dung fong 	那些東方	c=1 d=0.995012 t=1656
am taam 	黯淡	c=0 d=0.000136037 t=1656
baa 	把	c=4 d=0.332185 t=1656
baai tyut 	擺脫	c=1 d=0.0225956 t=1656
baak 	百	c=1 d=0.0126512 t=1656
baak jat 	白日	c=1 d=0.000391706 t=1656
baat 	八	c=3 d=1.8495 t=1656
ban hang 	品行	c=1 d=0.615697 t=1656
ban zung 	笨重	c=1 d=0.0163259 t=1656
bat 	不	c=8 d=0.815964 t=1656
bat dou 	不到	c=1 d=0.00304273 t=1656
bat gau 	不夠	c=1 d=0.0051953 t=1656
bat gei 	筆記	c=2 d=0.256199 t=1656
bat gwo 	不過	c=1 d=0.0599047 t=1656
bat jan 	不忍	c=1 d=0.144424 t=1656
bat ji 	不易	c=1 d=0.0159229 t=1656
bat jing goi 	不應該	c=1 d=0.0010701 t=1656
bat jiu 	不要	c=1 d=0.00358858 t=1656
bat loi 	不來	c=1 d=0.241454 t=1656
bat nang 	不能	c=1 d=0.379083 t=1656
bat paa 	不怕	c=1 d=0.00194013 t=1656
bat sau 	不守	c=1 d=0.0204453 t=1656
bat si 	不是	c=3 d=0.101461 t=1656
bat wui 	不會	c=1 d=0.189191 t=1656
bat zi 	不只	c=1 d=0.394554 t=1656
bat zoi 	不再	c=1 d=0.00209124 t=1656
bei 	比	c=2 d=0.0292506 t=1656
bei 	被	c=4 d=2.34034 t=1656
bei am taam 	被黯淡	c=1 d=0.00136719 t=1656
bei ci 	彼此	c=3 d=1.15909 t=1656
bei cyun 	祕傳	c=1 d=0.0150707 t=1656
bei mat 	祕密	c=3 d=0.00389581 t=1656
bei nei 	畀你	c=1 d=0.00108628 t=1656
bei oi 	悲哀	c=1 d=0.00290884 t=1656
bin 	便	c=4 d=0.00919022 t=1656
bin 	貶	c=1 d=0.0222592 t=1656
bin dak 	變得	c=2 d=0.00245596 t=1656
bing 	兵	c=0 d=0.1 t=1654
bing 	病	c=1 d=0.0127147 t=1656
bit sin 	必先	c=1 d=0.0026189 t=1656
biu zeon 	標準	c=1 d=0.00937227 t=1656
biu zyu 	標註	c=1 d=0.109154 t=1656
bok 	博	c=1 d=0.000689186 t=1656
bong taa 	幫他	c=1 d=0.0464212 t=1656
bong zo 	幫助	c=1 d=0.0191587 t=1656
bou fan 	部分	c=1 d=0.10383 t=1656
bou lau 	保留	c=1 d=0.136014 t=1656
bou zi 	步子	c=1 d=0.0221482 t=1656
bu neng 	㖣𠽒	c=1 d=0.377192 t=1656
bui hau 	背後	c=1 d=0.364219 t=1656
bun doi 	半袋	c=1 d=0.869358 t=1656
bun je 	半夜	c=0 d=0.0147342 t=1656
caa 	差	c=3 d=0.55938 t=1656
caa 	查	c=1 d=0.000620491 t=1656
caa 	茶	c=1 d=0.865022 t=1656
caam gaa 	參加	c=1 d=0.726149 t=1656
caam jyu 	參與	c=1 d=0.729789 t=1656
cak si 	測試	c=2 d=0.000752731 t=1656
cam zung 	沉重	c=1 d=0.000792752 t=1656
can 	陳	c=2 d=0.274332 t=1656
can nin 	陳年	c=1 d=0.00530026 t=1656
cang jyu 	曾與	c=1 d=0.0026852 t=1656
cat 	七	c=2 d=0.0206642 t=1656
cau 	臭	c=1 d=0.00980366 t=1656
ce 	車	c=1 d=0.00201931 t=1656
ceoi 	吹	c=1 d=0.0152222 t=1656
ceoi jyun 	隨緣	c=1 d=0.00318278 t=1656
ceoi mou kau ci 	吹毛求疵	c=1 d=0.0154523 t=1656
ceoi nyun 	取暖	c=1 d=0.00398587 t=1656
ceoi siu 	取消	c=1 d=0.228779 t=1656
ceot faat 	出發	c=1 d=0.472367 t=1656
ceot jin 	出現	c=1 d=0.0158434 t=1656
ceot lai 	出來	c=1 d=0.0629761 t=1656
ceot sau 	出售	c=1 d=1 t=1620
ci 	似	c=2 d=0.590359 t=1656
ci 	詞	c=0 d=0.00213864 t=1656
ci zik 	辭職	c=1 d=0.190139 t=1656
ci zung 	始終	c=1 d=0.00195963 t=1656
cin 	前	c=1 d=0.183599 t=1656
cin can 	前塵	c=1 d=0.0031042 t=1656
cin gei tin 	前幾天	c=1 d=0.04573 t=1656
cin tai 	前提	c=1 d=0.423162 t=1656
cin zeon 	前進	c=1 d=0.690734 t=1656
cing 	情	c=1 d=0.00155699 t=1656
cing co 	清楚	c=1 d=0.357007 t=1656
cing dou 	成都	c=1 d=0.631284 t=1656
cing dou 	程度	c=1 d=0.00806679 t=1656
cing gaau 	請教	c=1 d=0.00711891 t=1656
cing jan zit 	情人節	c=1 d=0.00357068 t=1656
cit siu 	撤消	c=1 d=0.227638 t=1656
coi 	才	c=2 d=0.0378241 t=1656
cong jip 	創業	c=1 d=0.0561348 t=1656
cou 	草	c=1 d=0.179066 t=1656
cou zok 	操作	c=1 d=0.0161635 t=1656
cuk dung 	速凍	c=1 d=0.744532 t=1656
cung 	從	c=1 d=0.0430669 t=1656
cung 	重	c=1 d=0.625002 t=1656
cyun zoi 	存在	c=1 d=0.0124629 t=1656
daa jan 	打印	c=1 d=0.0685632 t=1656
daa syun 	打算	c=1 d=0.0135009 t=1656
daai 	大	c=3 d=1.50028 t=1656
daai bun je 	大半夜	c=1 d=0.14808 t=1656
