# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	12715
#@/user_id	yongli-macbookpro
a 	啊	c=86 d=2.9125 t=12715
a di fang 	啊地方	c=1 d=2.76124e-08 t=12715
a gao xing 	啊高興	c=1 d=0.373439 t=12715
a la ding 	阿拉丁	c=0 d=0.0229925 t=12715
a la ding fa lv jie 	阿拉丁法律界	c=1 d=0.231078 t=12715
a la ke 	阿拉克	c=0 d=0.0489024 t=12715
a la ke diao jie fa su liao dai jie fang jun 	阿拉克調節閥塑料袋解放軍	c=1 d=0.25924 t=12715
a la ke shi diao jie fa 	阿拉克是調節閥	c=1 d=0.232236 t=12715
a la shan 	阿拉善	c=0 d=0.025284 t=12715
a la shan diao jie fa 	阿拉善調節閥	c=1 d=0.254107 t=12715
a li shan da 	阿歷山大	c=0 d=0.0422758 t=12715
a li shan da fan 	阿歷山大反	c=1 d=0.229925 t=12715
a li shan da le kai sa diao jie fa 	阿歷山大了凱撒調節閥	c=1 d=0.194952 t=12715
a liao jie 	啊瞭解	c=1 d=4.72849e-13 t=12715
a shi da fu 	啊士大夫	c=7 d=0.808557 t=12715
a shi da fu li kai jia 	啊士大夫離開家	c=1 d=0.191092 t=12715
a shi da fu li kai jia a si dun li kai jia feng ji kou la feng 	啊士大夫離開家阿斯頓離開家風紀扣拉風	c=1 d=0.19398 t=12715
a si dun 	阿斯頓	c=0 d=0.0646489 t=12715
a si dun la feng 	阿斯頓拉風	c=1 d=0.25284 t=12715
a si dun li kun jin fa 	阿斯頓力困筋乏	c=1 d=1 t=8985
a si lan 	阿斯蘭	c=0 d=0.0727747 t=12715
a si lan da fa shi deng li jun fen kai 	阿斯蘭大法師鄧麗君分開	c=1 d=0.256661 t=12715
a si lan da kai fa la 	阿斯蘭打開法拉	c=1 d=0.474734 t=12715
a xing 	啊行	c=2 d=4.44012e-08 t=12715
a you 	啊有	c=1 d=4.51888e-09 t=12715
ai 	哎	c=2 d=1.52205 t=11437
ai 	唉	c=8 d=0.729789 t=12715
ai hu 	愛護	c=1 d=0.000208619 t=12715
ai li ke sen 	埃裏克森	c=0 d=0.0503183 t=12715
ai li ke sen da fa shi de li kun jin fa 	埃裏克森大法師的力困筋乏	c=1 d=0.255381 t=12715
ai li ke sen diao jie fa sa ke luo fu 	埃裏克森調節閥薩克洛夫	c=1 d=0.250324 t=12715
ai ni 	愛你	c=1 d=1.31086e-08 t=12715
ai shang 	愛上	c=2 d=0.245367 t=12715
ai ya 	哎呀	c=1 d=4.90709e-08 t=12715
alpha 	α	c=1 d=0.00191125 t=12715
an 	按	c=7 d=0.144424 t=12715
an jian 	按鍵	c=1 d=0.00657158 t=12715
an li 	安利	c=1 d=0.106459 t=12715
an li 	案例	c=1 d=4.50722e-08 t=12715
an li shuo 	按理說	c=1 d=0.0247833 t=12715
an li shuo ken de ji fa lao sao ken de ji 	按理說肯德基發牢騷肯德基	c=1 d=0.249075 t=12715
an mo 	按摩	c=1 d=1 t=12187
an pai 	安排	c=13 d=0.784091 t=12715
an pai pao le 	安排跑了	c=1 d=0.33454 t=12715
an quan xing 	安全性	c=1 d=6.58972e-06 t=12715
an zhao 	按照	c=2 d=0.00503703 t=12715
an zhu 	按住	c=1 d=2.19883e-05 t=12715
an zhuang 	安裝	c=3 d=0.218712 t=12715
and 	∧	c=9 d=0.0160829 t=12715
ang 	昂	c=0 d=2.86651e-08 t=12715
